COMMODITY,VARIETY,ARRIVAL_DATE,MODAL_PRICE
Pointed gourd (Parval),Other,01/05/2003,1225.0
Pointed gourd (Parval),Other,02/05/2003,1125.0
Pointed gourd (Parval),Other,03/05/2003,1187.0
Pointed gourd (Parval),Other,05/05/2003,1137.0
Pointed gourd (Parval),Other,06/05/2003,1150.0
Pointed gourd (Parval),Other,07/05/2003,950.0
Pointed gourd (Parval),Other,08/05/2003,1050.0
Pointed gourd (Parval),Other,09/05/2003,1125.0
Pointed gourd (Parval),Other,19/05/2003,1300.0
Pointed gourd (Parval),Other,20/05/2003,1100.0
Pointed gourd (Parval),Other,21/05/2003,1100.0
Pointed gourd (Parval),Other,22/05/2003,1150.0
Pointed gourd (Parval),Other,23/05/2003,1225.0
Pointed gourd (Parval),Other,26/05/2003,1225.0
Pointed gourd (Parval),Other,28/05/2003,1375.0
Pointed gourd (Parval),Other,29/05/2003,1375.0
Pointed gourd (Parval),Other,30/05/2003,1200.0
Pointed gourd (Parval),Other,31/05/2003,1200.0
Pointed gourd (Parval),Other,05/06/2003,1325.0
Pointed gourd (Parval),Other,06/06/2003,1225.0
Pointed gourd (Parval),Other,07/06/2003,1325.0
Pointed gourd (Parval),Other,10/06/2003,1350.0
Pointed gourd (Parval),Other,11/06/2003,1350.0
Pointed gourd (Parval),Other,12/06/2003,1350.0
Pointed gourd (Parval),Other,13/06/2003,1450.0
Pointed gourd (Parval),Other,16/06/2003,1525.0
Pointed gourd (Parval),Other,17/06/2003,1425.0
Pointed gourd (Parval),Other,18/06/2003,1437.0
Pointed gourd (Parval),Other,19/06/2003,1325.0
Pointed gourd (Parval),Other,20/06/2003,1325.0
Pointed gourd (Parval),Other,21/06/2003,1325.0
Pointed gourd (Parval),Other,23/06/2003,1475.0
Pointed gourd (Parval),Other,24/06/2003,1450.0
Pointed gourd (Parval),Other,25/06/2003,1550.0
Pointed gourd (Parval),Other,26/06/2003,1550.0
Pointed gourd (Parval),Other,27/06/2003,1550.0
Pointed gourd (Parval),Other,30/06/2003,1550.0
Pointed gourd (Parval),Other,01/07/2003,1350.0
Pointed gourd (Parval),Other,02/07/2003,1425.0
Pointed gourd (Parval),Other,03/07/2003,1475.0
Pointed gourd (Parval),Other,04/07/2003,1450.0
Pointed gourd (Parval),Other,05/07/2003,1525.0
Pointed gourd (Parval),Other,07/07/2003,1550.0
Pointed gourd (Parval),Other,08/07/2003,1475.0
Pointed gourd (Parval),Other,09/07/2003,1525.0
Pointed gourd (Parval),Other,10/07/2003,1475.0
Pointed gourd (Parval),Other,11/07/2003,1525.0
Pointed gourd (Parval),Other,14/07/2003,1450.0
Pointed gourd (Parval),Other,15/07/2003,1450.0
Pointed gourd (Parval),Other,16/07/2003,1450.0
Pointed gourd (Parval),Other,17/07/2003,1525.0
Pointed gourd (Parval),Other,18/07/2003,1525.0
Pointed gourd (Parval),Other,19/07/2003,1500.0
Pointed gourd (Parval),Other,21/07/2003,1550.0
Pointed gourd (Parval),Other,22/07/2003,1550.0
Pointed gourd (Parval),Other,23/07/2003,1550.0
Pointed gourd (Parval),Other,24/07/2003,1550.0
Pointed gourd (Parval),Other,28/07/2003,1450.0
Pointed gourd (Parval),Other,29/07/2003,1325.0
Pointed gourd (Parval),Other,30/07/2003,1325.0
Pointed gourd (Parval),Other,31/07/2003,1450.0
Pointed gourd (Parval),Other,01/08/2003,1525.0
Pointed gourd (Parval),Other,02/08/2003,1550.0
Pointed gourd (Parval),Other,06/08/2003,1450.0
Pointed gourd (Parval),Other,07/08/2003,1450.0
Pointed gourd (Parval),Other,03/09/2003,1650.0
Pointed gourd (Parval),Other,05/09/2003,1700.0
Pointed gourd (Parval),Other,10/09/2003,1750.0
Pointed gourd (Parval),Other,02/01/2013,4000.0
Pointed gourd (Parval),Other,04/01/2013,4000.0
Pointed gourd (Parval),Other,08/01/2013,4000.0
Pointed gourd (Parval),Other,18/01/2013,4500.0
Pointed gourd (Parval),Other,13/02/2013,6750.0
Pointed gourd (Parval),Other,14/02/2013,5750.0
Pointed gourd (Parval),Other,15/02/2013,4500.0
Pointed gourd (Parval),Other,16/02/2013,4500.0
Pointed gourd (Parval),Other,18/02/2013,4500.0
Pointed gourd (Parval),Other,19/02/2013,4375.0
Pointed gourd (Parval),Other,20/02/2013,4500.0
Pointed gourd (Parval),Other,21/02/2013,4500.0
Pointed gourd (Parval),Other,22/02/2013,4500.0
Pointed gourd (Parval),Other,23/02/2013,4375.0
Pointed gourd (Parval),Other,26/02/2013,4375.0
Pointed gourd (Parval),Other,27/02/2013,4300.0
Pointed gourd (Parval),Other,28/02/2013,4300.0
Pointed gourd (Parval),Other,05/03/2013,4500.0
Pointed gourd (Parval),Other,06/03/2013,4500.0
Pointed gourd (Parval),Other,08/03/2013,4750.0
Pointed gourd (Parval),Other,09/03/2013,5000.0
Pointed gourd (Parval),Other,11/03/2013,5250.0
Pointed gourd (Parval),Other,12/03/2013,5000.0
Pointed gourd (Parval),Other,18/03/2013,4750.0
Pointed gourd (Parval),Other,19/03/2013,4375.0
Pointed gourd (Parval),Other,20/03/2013,4250.0
Pointed gourd (Parval),Other,21/03/2013,4250.0
Pointed gourd (Parval),Other,22/03/2013,4625.0
Pointed gourd (Parval),Other,23/03/2013,4250.0
